measured_date,measured_value,point_id,place_id
2023-11-10 11:31:00,18.0,1,1
2023-11-10 11:31:00,21.9,2,1
2023-11-10 11:31:00,20.6,3,1
2023-11-10 11:31:00,49.0,4,1
